,POPULATION,ZIPCODE,Id2,disability_r,edu_high_r,edu_low_r,employment_r,hh,hh_with6_r,utility_gas_r,tank_gas_r,electricity_r,fueloil_r,coal_r,other_fuels_r,occupied_hu_own_r,occupied_hu_rent_r,built_before1980_r,married_r,non_eng_r,below_poverty_r,pop,male_pop_r,female_pop_r,elder_pop_r,white_r,black_r,asian_r,native_r,towork_less30_r,towork_over30_r
179,80232.0,11221,11221,0.085,0.221,0.273,0.544,28918.0,0.000663946331005,0.787,0.012,0.055,0.13,0.001,0.007,0.203091500104,0.796908499896,0.812,0.255,0.379,0.271,83372.0,0.474187976779,0.525812023221,0.000107949911241,0.302679556686,0.56462601353,0.0286786930864,0.00758048265605,0.18752939793,0.81247060207
180,39014.0,11421,11421,0.103,0.216,0.298,0.598,12228.0,0.00161923454367,0.81,0.024,0.022,0.135,0.0,0.003,0.555446516192,0.444553483808,0.928,0.466,0.66,0.144,43024.0,0.491748791372,0.508251208628,0.00023475269617,0.483334882856,0.0546439196727,0.190614540721,0.00692636667906,0.185058817538,0.814941182462
181,47054.0,11419,11419,0.076,0.178,0.363,0.586,12357.0,0.00141620134337,0.842,0.017,0.027,0.11,0.0,0.003,0.553451484988,0.446548515012,0.907,0.492,0.379,0.172,49306.0,0.499716058897,0.500283941103,0.000186589867359,0.110392244352,0.184561716627,0.292094268446,0.00934977487527,0.219421985206,0.780578014794
182,57989.0,11434,11434,0.121,0.221,0.317,0.579,20731.0,0.00104191790073,0.743,0.013,0.118,0.091,0.0,0.015,0.493270946891,0.506729053109,0.841,0.316,0.128,0.125,65892.0,0.434802403934,0.565197596066,0.000198810174224,0.0281065986766,0.890699933224,0.0133703636253,0.000409761427791,0.255774259152,0.744225740848
183,53862.0,11216,11216,0.106,0.391,0.224,0.617,23048.0,0.00116712946893,0.728,0.012,0.078,0.167,0.0,0.008,0.204703228046,0.795296771954,0.899,0.244,0.193,0.208,53747.0,0.473552012205,0.526447987795,0.000189778034123,0.204513740302,0.681768284741,0.0385882002716,0.00772136119225,0.215897976074,0.784102023926
184,25423.0,11416,11416,0.108,0.22,0.309,0.584,7134.0,0.00239697224558,0.846,0.022,0.032,0.086,0.0,0.009,0.420100925147,0.579899074853,0.892,0.471,0.609,0.176,26625.0,0.490779342723,0.509220657277,0.000292957746479,0.265051643192,0.0648638497653,0.349521126761,0.00135211267606,0.20211147893,0.79788852107
185,66737.0,11233,11233,0.111,0.19,0.32,0.52,26987.0,0.000652165857635,0.808,0.013,0.056,0.105,0.0,0.006,0.226775855041,0.773224144959,0.795,0.245,0.194,0.315,71589.0,0.44276355306,0.55723644694,0.000143876852589,0.0593387252231,0.814510609172,0.0133819441534,0.00195560770509,0.224929847881,0.775070152119
186,12.0,10055,10055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,41966.0,10019,10019,0.094,0.714,0.095,0.694,23146.0,0.00174112157608,0.337,0.012,0.316,0.292,0.001,0.023,0.183530631643,0.816469368357,0.674,0.302,0.345,0.12,38830.0,0.494514550605,0.505485449395,0.000399175894927,0.714396085501,0.0559876384239,0.152356425444,0.00399175894927,0.584231103388,0.415768896612
188,0.0,10111,10111,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
189,0.0,10153,10153,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
